k,head,program,strategy,increase,spike
32,"(3, 1)",relative_position_attention,smart,26.96426630422892,False
33,"(2, 11)",appositive_phrase_attention,smart,28.754114316857248,False
34,"(2, 10)",relative_position_attention,smart,32.57071533287827,False
35,"(3, 0)",relative_position_attention,smart,32.40407846366408,False
36,"(3, 3)",relative_position_attention,smart,36.67824345989369,False
37,"(3, 4)",relative_position_attention,smart,36.84488789251653,False
38,"(3, 8)",relative_position_attention,smart,36.64269173861337,False
39,"(3, 2)",relative_position_attention,smart,35.36310129613895,False
40,"(3, 6)",relative_position_attention,smart,35.589676456245364,False
41,"(3, 7)",relative_position_attention,smart,35.3178958502357,False
42,"(3, 9)",next_attention,smart,85.11815081136335,False
43,"(4, 1)",parenthetical_insertion,smart,84.68167626676038,False
44,"(4, 2)",emphasize_verbs_and_objects,smart,92.68610182983188,False
45,"(3, 11)",sentence_position_preference,smart,110.4283076075626,False
46,"(3, 10)",relative_position_attention,smart,110.65608244343684,False
47,"(4, 6)",emphasize_verbs_and_objects,smart,113.89574661424648,False
48,"(4, 3)",emphasize_verbs_and_objects,smart,109.727404087671,False
49,"(4, 0)",emphasize_verbs_and_objects,smart,112.0559139018435,False
50,"(4, 4)",emphasize_verbs_and_objects,smart,115.26458496497813,False
51,"(4, 5)",emphasize_verbs_and_objects,smart,128.50214968185497,False
52,"(4, 8)",emphasize_verbs_and_objects,smart,127.79323169327992,False
53,"(4, 10)",emphasize_verbs_and_objects,smart,137.04782787203416,False
54,"(4, 9)",relative_position_attention,smart,138.36733921254478,False
55,"(4, 7)",emphasize_verbs_and_objects,smart,142.04747252601982,False
56,"(5, 2)",emphasize_verbs_and_objects,smart,140.48517726636035,False
57,"(5, 3)",emphasize_verbs_and_objects,smart,146.92946869132788,False
58,"(5, 1)",emphasize_verbs_and_objects,smart,147.76665354848362,False
59,"(5, 0)",emphasize_verbs_and_objects,smart,156.05557739933656,False
60,"(5, 4)",relative_position_attention,smart,153.6357562922341,False
61,"(5, 7)",emphasize_verbs_and_objects,smart,161.3415124747142,False
62,"(5, 10)",coordination_attention,smart,180.80343750188683,False
63,"(5, 6)",emphasize_verbs_and_objects,smart,203.2685489458772,False
64,"(5, 8)",sentence_initial_dominance,smart,231.91981567891065,False
65,"(5, 5)",emphasize_verbs_and_objects,smart,235.32352851356575,False
66,"(5, 11)",emphasize_verbs_and_objects,smart,257.7234785748915,False
67,"(6, 0)",emphasize_verbs_and_objects,smart,275.203386296053,False
68,"(6, 1)",emphasize_verbs_and_objects,smart,315.9207132448607,False
69,"(6, 5)",sentence_initial_dominance,smart,314.15977303896614,False
70,"(6, 4)",emphasize_verbs_and_objects,smart,319.3115458564259,False
71,"(6, 3)",emphasize_verbs_and_objects,smart,336.04312890350747,False
72,"(6, 2)",emphasize_verbs_and_objects,smart,364.7072055479149,False
73,"(6, 7)",relative_position_attention,smart,356.7673586256601,False
74,"(6, 8)",emphasize_verbs_and_objects,smart,324.1500126111388,False
75,"(6, 9)",emphasize_verbs_and_objects,smart,354.5353311030574,False
76,"(7, 0)",relative_position_attention,smart,371.3252678521922,False
77,"(6, 6)",emphasize_verbs_and_objects,smart,393.807582982961,False
78,"(7, 1)",emphasize_verbs_and_objects,smart,411.8415973191808,False
79,"(7, 3)",emphasize_verbs_and_objects,smart,439.7648654285457,False
80,"(7, 2)",emphasize_verbs_and_objects,smart,450.62723670495006,False
81,"(7, 4)",previous_attention,smart,497.4807570657126,False
82,"(7, 8)",punctuation_attention,smart,528.1180264640677,False
83,"(7, 5)",emphasize_verbs_and_objects,smart,536.7934520151553,False
84,"(7, 6)",emphasize_verbs_and_objects,smart,569.5758975511849,False
85,"(7, 11)",emphasize_verbs_and_objects,smart,591.743676919041,False
86,"(8, 2)",emphasize_verbs_and_objects,smart,593.9051247093937,False
87,"(8, 0)",emphasize_verbs_and_objects,smart,586.0436511634985,False
88,"(8, 1)",emphasize_verbs_and_objects,smart,594.9441881815511,False
89,"(7, 10)",emphasize_verbs_and_objects,smart,627.1036532283872,False
90,"(8, 3)",emphasize_verbs_and_objects,smart,669.6932953723078,False
91,"(8, 9)",relative_position_attention,smart,678.2230929003427,False
92,"(8, 6)",emphasize_verbs_and_objects,smart,724.8539254442187,False
93,"(8, 10)",emphasize_verbs_and_objects,smart,762.6263641064663,False
94,"(8, 8)",relative_position_attention,smart,766.5082943225266,False
95,"(8, 7)",relative_position_attention,smart,781.2584241542922,False
96,"(9, 0)",emphasize_verbs_and_objects,smart,785.2853177236574,False
97,"(9, 2)",relative_position_attention,smart,795.0746817226201,False
98,"(9, 3)",emphasize_verbs_and_objects,smart,838.4267369746482,False
99,"(9, 1)",emphasize_verbs_and_objects,smart,882.6500371006645,False
100,"(9, 6)",emphasize_verbs_and_objects,smart,865.4312946760356,False
101,"(9, 4)",emphasize_verbs_and_objects,smart,898.9462393592643,False
102,"(9, 8)",relative_position_attention,smart,912.687852512344,False
103,"(9, 5)",relative_position_attention,smart,926.5585036067952,False
104,"(9, 11)",relative_position_attention,smart,926.4927992156088,False
105,"(10, 1)",last_token_attention,smart,925.0266522307338,False
106,"(9, 10)",relative_position_attention,smart,942.8845869047258,False
107,"(10, 0)",relative_position_attention,smart,967.560606125656,False
108,"(10, 3)",last_token_attention,smart,972.8668622356216,False
109,"(10, 4)",last_token_attention,smart,995.8893499604212,False
110,"(2, 0)",conjunction_resolution,smart,3651.4229,False
111,"(2, 9)",compound_modifier_attention,smart,11554.831768,False
112,"(1, 6)",sentence_beginning_salience,smart,11783.81545,False
113,"(7, 7)",emphasize_verbs_and_objects,smart,12159.639399,False
114,"(8, 5)",emphasize_verbs_and_objects,smart,13495.894062,False
115,"(9, 9)",emphasize_verbs_and_objects,smart,13769.986017,False
116,"(3, 5)",initial_token_reference_attention,smart,21369.3957,False
117,"(8, 4)",emphasize_verbs_and_objects,smart,21311.072562,False
118,"(9, 7)",emphasize_verbs_and_objects,smart,22021.584047,False
119,"(5, 9)",next_attention,smart,23220.745348,False
120,"(6, 10)",emphasize_verbs_and_objects,smart,23547.611324,False
121,"(4, 11)",coordination_attention,smart,25783.224623,False
122,"(6, 11)",previous_attention,smart,27439.457752,False
123,"(7, 9)",emphasize_verbs_and_objects,smart,28001.722181,False
124,"(11, 9)",parenthetical_insertion,smart,27968.947541,False
125,"(11, 2)",parenthetical_insertion,smart,27911.016832,False
126,"(10, 5)",last_token_attention,smart,27519.005226,False
127,"(8, 11)",emphasize_verbs_and_objects,smart,29026.339797,False
128,"(10, 7)",punctuation_attention,smart,29198.541682,False
129,"(10, 9)",last_token_attention,smart,28968.529613,False
130,"(11, 8)",parenthetical_insertion,smart,28958.37001,False
131,"(10, 10)",relative_position_attention,smart,29128.967345,False
132,"(11, 0)",punctuation_attention,smart,29149.187005,False
133,"(11, 11)",punctuation_attention,smart,29175.266155,False
134,"(11, 7)",punctuation_attention,smart,29244.759284,False
135,"(11, 6)",punctuation_attention,smart,29420.54249,False
136,"(11, 4)",punctuation_attention,smart,29119.372678,False
137,"(11, 3)",punctuation_attention,smart,28999.945184,False
138,"(11, 1)",punctuation_attention,smart,28933.282542,False
139,"(11, 10)",punctuation_attention,smart,28918.665332,False
140,"(10, 2)",punctuation_attention,smart,28978.594859,False
141,"(10, 11)",punctuation_attention,smart,29137.638853,False
142,"(10, 6)",last_token_attention,smart,29452.812682,False
143,"(11, 5)",punctuation_attention,smart,29734.855322,False
144,"(10, 8)",punctuation_attention,smart,29795.065751,False
