k,head,program,strategy,increase,spike
92,"(8, 3)",emphasize_verbs_and_objects,smart,636.6345874387835,False
93,"(8, 7)",relative_position_attention,smart,651.167922661159,False
94,"(9, 0)",emphasize_verbs_and_objects,smart,654.6843075723947,False
95,"(8, 11)",emphasize_verbs_and_objects,smart,701.1049506714838,False
96,"(8, 10)",emphasize_verbs_and_objects,smart,749.5211583617745,False
97,"(8, 9)",relative_position_attention,smart,768.3162092572213,False
98,"(9, 4)",emphasize_verbs_and_objects,smart,801.7045774863601,False
99,"(9, 2)",relative_position_attention,smart,814.0213389401096,False
100,"(9, 1)",emphasize_verbs_and_objects,smart,862.1094887889136,False
101,"(9, 5)",relative_position_attention,smart,872.6488723200239,False
102,"(9, 6)",emphasize_verbs_and_objects,smart,866.9181556768372,False
103,"(9, 7)",emphasize_verbs_and_objects,smart,913.7623450376283,False
104,"(9, 8)",relative_position_attention,smart,927.8478248658157,False
105,"(9, 10)",relative_position_attention,smart,955.2808854535385,False
106,"(9, 11)",relative_position_attention,smart,958.929993916007,False
107,"(10, 0)",relative_position_attention,smart,986.0695551050694,False
108,"(10, 3)",last_token_attention,smart,983.4422175545087,False
