k,head,program,strategy,increase,spike
83,"(7, 5)",emphasize_verbs_and_objects,smart,533.0095172722082,False
84,"(7, 8)",punctuation_attention,smart,569.5758975511849,False
85,"(7, 10)",emphasize_verbs_and_objects,smart,599.8409106100696,False
86,"(7, 7)",emphasize_verbs_and_objects,smart,632.9450297262919,False
87,"(8, 1)",emphasize_verbs_and_objects,smart,647.9785809290152,False
88,"(8, 3)",emphasize_verbs_and_objects,smart,686.830990967148,False
89,"(8, 0)",emphasize_verbs_and_objects,smart,695.7295687161702,False
90,"(8, 2)",emphasize_verbs_and_objects,smart,686.4345934408959,False
91,"(8, 6)",emphasize_verbs_and_objects,smart,719.8078116001323,False
92,"(8, 8)",relative_position_attention,smart,725.8526101713104,False
93,"(8, 7)",relative_position_attention,smart,739.0688759343442,False
94,"(8, 9)",relative_position_attention,smart,749.7142888292201,False
95,"(9, 1)",emphasize_verbs_and_objects,smart,791.1846592811543,False
96,"(9, 4)",emphasize_verbs_and_objects,smart,819.7532015156623,False
97,"(8, 10)",emphasize_verbs_and_objects,smart,863.725195008783,False
98,"(9, 0)",emphasize_verbs_and_objects,smart,872.5674478867502,False
99,"(9, 2)",relative_position_attention,smart,884.4504261012569,False
100,"(9, 5)",relative_position_attention,smart,893.913913139107,False
101,"(9, 3)",emphasize_verbs_and_objects,smart,943.3849976678894,False
102,"(9, 6)",emphasize_verbs_and_objects,smart,931.8041549759458,False
103,"(9, 9)",emphasize_verbs_and_objects,smart,974.3972429967911,False
104,"(9, 8)",relative_position_attention,smart,994.4576216022379,False
