k,head,program,strategy,increase,spike
93,"(8, 8)",relative_position_attention,smart,730.1751570855146,False
94,"(8, 9)",relative_position_attention,smart,742.3296776037844,False
95,"(9, 2)",relative_position_attention,smart,752.9303284129362,False
96,"(9, 0)",emphasize_verbs_and_objects,smart,755.897828159038,False
97,"(9, 1)",emphasize_verbs_and_objects,smart,794.5874593890474,False
98,"(8, 10)",emphasize_verbs_and_objects,smart,838.2980403870761,False
99,"(9, 3)",emphasize_verbs_and_objects,smart,882.6500371006645,False
100,"(9, 4)",emphasize_verbs_and_objects,smart,916.0635111800432,False
101,"(9, 6)",emphasize_verbs_and_objects,smart,898.9462393592643,False
102,"(9, 9)",emphasize_verbs_and_objects,smart,945.851779405432,False
103,"(9, 8)",relative_position_attention,smart,964.3931519787678,False
104,"(9, 5)",relative_position_attention,smart,979.2535560045886,False
105,"(10, 1)",last_token_attention,smart,982.190488617552,False
106,"(10, 3)",last_token_attention,smart,979.0148215259208,False
107,"(9, 10)",relative_position_attention,smart,998.8015083102755,False
