k,head,program,accepted_rank,strategy,increase,kl_div,shuffle_idx
41,"(8, 0)",sentence_initial_dominance,1,smart,-10.026851892198312,0.0629787814687006,1
42,"(4, 10)",initial_token_attention,1,smart,-9.929107592011958,0.0653556691482663,1
43,"(1, 10)",sentence_position_preference,3,smart,-5.050901,0.094754,1
44,"(5, 8)",token_reinforcement,1,smart,-4.596763,0.1046,1
45,"(6, 5)",token_reinforcement,1,smart,-4.686165,0.105557,1
46,"(0, 9)",uniform_lower_diagonal,1,smart,-4.248202,0.103368,1
47,"(9, 0)",token_reinforcement,1,smart,-3.642043,0.105121,1
48,"(0, 11)",uniform_lower_diagonal,1,smart,-3.770296,0.101207,1
49,"(5, 6)",token_reinforcement,1,smart,-3.198117,0.121109,1
50,"(8, 6)",sentence_beginning_salience,1,smart,-3.167555,0.128,1
51,"(4, 8)",token_reinforcement,1,smart,-2.343917,0.136058,1
52,"(8, 9)",token_reinforcement,1,smart,-1.703953,0.140559,1
53,"(6, 1)",token_reinforcement,1,smart,-0.891911,0.142963,1
54,"(11, 4)",token_reinforcement,1,smart,-1.337505,0.145005,1
55,"(11, 6)",initial_element_reinforcement,2,smart,-1.337505,0.145005,1
56,"(7, 9)",token_reinforcement,1,smart,-0.660098,0.150935,1
57,"(7, 3)",token_reinforcement,1,smart,-0.56782,0.162347,1
58,"(6, 4)",initial_token_reference_attention,1,smart,-0.630604,0.156709,1
59,"(3, 10)",initial_token_reference_attention,1,smart,-0.373732,0.166099,1
60,"(9, 10)",token_reinforcement,1,smart,-0.092025,0.174275,1
61,"(10, 4)",token_reinforcement,1,smart,0.350483,0.181356,1
62,"(0, 5)",lexical_diversity_focus,1,smart,0.313901,0.181044,1
63,"(9, 7)",token_reinforcement,1,smart,-0.14677,0.187421,1
64,"(9, 2)",token_reinforcement,1,smart,-0.128503,0.189095,1
65,"(2, 11)",token_reinforcement,1,smart,-0.073738,0.186068,1
66,"(4, 2)",token_reinforcement,1,smart,0.213993,0.196132,1
67,"(2, 0)",uniform_lower_diagonal,1,smart,0.011269,0.198863,1
68,"(10, 11)",token_reinforcement,1,smart,0.434115,0.200293,1
69,"(2, 7)",uniform_lower_diagonal,1,smart,0.611245,0.200243,1
70,"(10, 5)",sentence_beginning_salience,1,smart,0.443949,0.20758,1
71,"(7, 4)",sentence_beginning_salience,1,smart,1.358053,0.203403,1
72,"(11, 0)",uniform_lower_diagonal,1,smart,1.672065,0.205046,1
73,"(1, 4)",uniform_lower_diagonal,1,smart,2.108529,0.204721,1
74,"(5, 7)",token_reinforcement,1,smart,2.763176,0.220853,1
75,"(0, 3)",rare_word_dominance,1,smart,2.706541,0.224908,1
76,"(8, 10)",token_reinforcement,1,smart,3.564241,0.250086,1
77,"(0, 0)",uniform_lower_diagonal,1,smart,3.332195,0.241314,1
78,"(2, 1)",token_reinforcement,1,smart,3.626705,0.233589,1
79,"(4, 4)",token_reinforcement,1,smart,4.462757,0.230453,1
80,"(8, 2)",token_reinforcement,1,smart,4.397021,0.236711,1
81,"(7, 8)",token_reinforcement,1,smart,4.139409,0.246624,1
82,"(7, 0)",token_reinforcement,1,smart,5.565685,0.253563,1
83,"(2, 6)",initial_token_reference_attention,1,smart,5.6736,0.249782,1
84,"(2, 10)",uniform_lower_diagonal,1,smart,6.172481,0.255263,1
85,"(4, 5)",token_reinforcement,1,smart,6.672141,0.266118,1
86,"(1, 7)",uniform_lower_diagonal,1,smart,6.76433,0.265484,1
87,"(1, 11)",lexical_diversity_focus,1,smart,6.740161,0.266061,1
88,"(5, 10)",token_reinforcement,1,smart,8.594793,0.291627,1
89,"(10, 9)",token_reinforcement,1,smart,10.030868,0.306321,1
90,"(6, 3)",token_reinforcement,1,smart,10.869813,0.333776,1
91,"(4, 7)",first_token_dominance,1,smart,11.583559,0.337694,1
92,"(1, 8)",uniform_lower_diagonal,1,smart,11.63297,0.338361,1
93,"(1, 6)",uniform_lower_diagonal,1,smart,11.678988,0.344361,1
94,"(11, 10)",initial_token_reference_attention,1,smart,12.437026,0.351078,1
95,"(11, 3)",token_reinforcement,1,smart,12.591846,0.347541,1
96,"(3, 5)",token_reinforcement,1,smart,13.553876,0.357131,1
97,"(7, 5)",token_reinforcement,1,smart,14.347477,0.353793,1
98,"(8, 7)",token_reinforcement,1,smart,15.6427,0.360645,1
99,"(3, 3)",initial_token_reference_attention,1,smart,15.688643,0.377911,1
100,"(0, 6)",uniform_lower_diagonal,1,smart,15.678911,0.382898,1
101,"(0, 8)",uniform_lower_diagonal,1,smart,15.575041,0.391619,1
102,"(2, 5)",uniform_lower_diagonal,1,smart,16.542563,0.414767,1
103,"(4, 0)",initial_token_reference_attention,1,smart,18.984057,0.428598,1
104,"(0, 2)",uniform_lower_diagonal,1,smart,19.404076,0.44846,1
105,"(8, 4)",token_reinforcement,1,smart,20.298874,0.442508,1
106,"(6, 11)",token_reinforcement,1,smart,21.489411,0.470005,1
107,"(1, 9)",uniform_lower_diagonal,1,smart,22.418096,0.48196,1
108,"(3, 7)",previous_attention,1,smart,24.551944,0.50585,1
