layer,head,program_idx,best_program,best_iou,intended_program,intended_iou
2,2,103,first_token_bias_content_focus_punctuation_L2H4,0.5270526185525608,first_token_bias_content_focus_punctuation_stochastic_L2H2,
2,3,103,first_token_bias_content_focus_punctuation_L2H4,0.489968945930982,first_token_bias_content_focus_L2H3,
2,4,109,first_token_bias_content_focus_punctuation_L5H3,0.541274139176238,first_token_bias_content_focus_punctuation_L2H4,
2,5,103,first_token_bias_content_focus_punctuation_L2H4,0.5084035413097988,decaying_first_token_bias_content_focus_punctuation_L2H5,
2,6,41,decaying_first_token_bias_punctuation_L5H8,0.6272688551487798,decaying_first_token_bias_punctuation_L2H6,
2,7,13,decaying_first_token_bias_content_focus_L11H3,0.6733305227721521,decaying_first_token_bias_content_focus_L2H7,
2,8,15,decaying_first_token_bias_content_focus_L2H8,0.5217267934616753,decaying_first_token_bias_content_focus_L2H8,
2,9,32,decaying_first_token_bias_content_focus_punctuation_L1H4,0.5284772355271224,first_token_bias_content_focus_stochastic_L2H9,
2,10,13,decaying_first_token_bias_content_focus_L11H3,0.6527476559917424,first_token_bias_content_focus_L2H10,
2,11,39,decaying_first_token_bias_content_focus_punctuation_stochastic_L11H7,0.7688839667524009,first_token_bias_content_focus_L2H11,
3,0,145,first_token_bias_stochastic_L9H9,0.9128478424279084,first_token_bias_stochastic_L3H0,
3,1,40,decaying_first_token_bias_punctuation_L2H6,0.5687200787841884,first_token_bias_content_focus_punctuation_stochastic_L3H1,
3,2,53,first_token_bias_L3H2,0.5122786280053023,first_token_bias_L3H2,
3,3,82,first_token_bias_content_focus_L6H11,0.5589863000866805,first_token_bias_content_focus_punctuation_L3H3,
3,4,131,first_token_bias_punctuation_L10H8,0.8932290887714445,first_token_bias_L3H4,
3,5,75,first_token_bias_content_focus_L3H5,0.6630556945103232,first_token_bias_content_focus_L3H5,
3,6,70,first_token_bias_content_focus_L11H0,0.513650873416384,first_token_bias_content_focus_punctuation_coreference_L3H6,
3,7,53,first_token_bias_L3H2,0.5362775850078285,first_token_bias_content_focus_punctuation_L3H7,
3,8,101,first_token_bias_content_focus_punctuation_L1H1,0.4678914906795316,first_token_bias_content_focus_punctuation_L3H8,
3,9,27,decaying_first_token_bias_content_focus_punctuation_L0H11,0.4990608590410375,decaying_first_token_bias_content_focus_L3H9,
3,10,40,decaying_first_token_bias_punctuation_L2H6,0.7037977008085009,first_token_bias_content_focus_L3H10,
3,11,26,decaying_first_token_bias_content_focus_L9H7,0.4916903072820598,first_token_bias_content_focus_punctuation_coreference_L3H11,
4,0,93,first_token_bias_content_focus_punctuation_L0H2,0.4688821632237393,decaying_first_token_bias_content_focus_L4H0,
4,1,109,first_token_bias_content_focus_punctuation_L5H3,0.508322880159324,first_token_bias_content_focus_L4H1,
4,2,47,first_token_bias_L10H2,0.7742499215205568,first_token_bias_content_focus_punctuation_coreference_L4H2,
4,3,24,decaying_first_token_bias_content_focus_L7H3,0.4914290833413269,first_token_bias_content_focus_L4H3,
4,4,23,decaying_first_token_bias_content_focus_L7H1,0.7647204326133716,first_token_bias_content_focus_coreference_L4H4,
4,5,39,decaying_first_token_bias_content_focus_punctuation_stochastic_L11H7,0.5977811493529208,first_token_bias_content_focus_L4H5,
4,6,75,first_token_bias_content_focus_L3H5,0.6876924557480582,first_token_bias_content_focus_L4H6,
4,7,36,decaying_first_token_bias_content_focus_punctuation_L8H10,0.6320730601637485,decaying_first_token_bias_content_focus_L4H7,
4,8,47,first_token_bias_L10H2,0.7595600463270661,decaying_first_token_bias_content_focus_L4H8,
4,9,75,first_token_bias_content_focus_L3H5,0.5658933990436691,decaying_first_token_bias_content_focus_L4H9,
4,10,131,first_token_bias_punctuation_L10H8,0.8526232800160669,first_token_bias_punctuation_L4H10,
4,11,146,general_pattern_L4H11,0.7453222670786545,general_pattern_L4H11,
5,0,88,first_token_bias_content_focus_L8H3,0.7990923577345679,first_token_bias_content_focus_punctuation_L5H0,
5,1,57,first_token_bias_L6H9,0.9778504007650476,first_token_bias_L5H1,
5,2,39,decaying_first_token_bias_content_focus_punctuation_stochastic_L11H7,0.5157577735130758,first_token_bias_content_focus_stochastic_L5H2,
5,3,112,first_token_bias_content_focus_punctuation_L6H2,0.6042766781028514,first_token_bias_content_focus_punctuation_L5H3,
5,4,27,decaying_first_token_bias_content_focus_punctuation_L0H11,0.5707403454935506,first_token_bias_content_focus_punctuation_L5H4,
5,5,65,first_token_bias_L9H6,0.8684839973028661,first_token_bias_content_focus_L5H5,
5,6,92,first_token_bias_content_focus_coreference_L4H4,0.6853555459159463,decaying_first_token_bias_content_focus_L5H6,
5,7,81,first_token_bias_content_focus_L5H9,0.5851761070902438,first_token_bias_content_focus_punctuation_L5H7,
5,8,47,first_token_bias_L10H2,0.7121209205563968,decaying_first_token_bias_punctuation_L5H8,
5,9,131,first_token_bias_punctuation_L10H8,0.8698658058259303,first_token_bias_content_focus_L5H9,
5,10,98,first_token_bias_content_focus_punctuation_L11H2,0.6207810140603707,first_token_bias_content_focus_punctuation_L5H10,
5,11,132,first_token_bias_punctuation_L11H4,0.6904889041765225,decaying_first_token_bias_content_focus_punctuation_L5H11,
6,0,24,decaying_first_token_bias_content_focus_L7H3,0.4945045780883079,decaying_first_token_bias_content_focus_L6H0,
6,1,3,decaying_content_focus_L6H1,0.6248986050128973,decaying_content_focus_L6H1,
6,2,47,first_token_bias_L10H2,0.8327398255936584,first_token_bias_content_focus_punctuation_L6H2,
6,3,47,first_token_bias_L10H2,0.7184800027783419,first_token_bias_content_focus_L6H3,
6,4,30,decaying_first_token_bias_content_focus_punctuation_L11H1,0.6666623994472733,first_token_bias_content_focus_L6H4,
6,5,39,decaying_first_token_bias_content_focus_punctuation_stochastic_L11H7,0.7176862533663066,first_token_bias_content_focus_stochastic_L6H5,
6,6,47,first_token_bias_L10H2,0.8027119196379946,decaying_first_token_bias_stochastic_L6H6,
6,7,39,decaying_first_token_bias_content_focus_punctuation_stochastic_L11H7,0.5736402458061933,first_token_bias_content_focus_punctuation_L6H7,
6,8,93,first_token_bias_content_focus_punctuation_L0H2,0.5959469276674181,first_token_bias_L6H8,
6,9,57,first_token_bias_L6H9,0.9634495990228584,first_token_bias_L6H9,
6,10,88,first_token_bias_content_focus_L8H3,0.9028673905035778,first_token_bias_punctuation_L6H10,
6,11,39,decaying_first_token_bias_content_focus_punctuation_stochastic_L11H7,0.5372158668158564,first_token_bias_content_focus_L6H11,
7,0,21,decaying_first_token_bias_content_focus_L5H6,0.5777096228686005,first_token_bias_content_focus_L7H0,
7,1,131,first_token_bias_punctuation_L10H8,0.8231815089422794,decaying_first_token_bias_content_focus_L7H1,
7,2,57,first_token_bias_L6H9,0.973089653876497,first_token_bias_L7H2,
7,3,75,first_token_bias_content_focus_L3H5,0.6626591964836923,decaying_first_token_bias_content_focus_L7H3,
7,4,81,first_token_bias_content_focus_L5H9,0.6500395896677238,first_token_bias_content_focus_punctuation_L7H4,
7,5,30,decaying_first_token_bias_content_focus_punctuation_L11H1,0.6396570880434175,first_token_bias_content_focus_L7H5,
7,6,47,first_token_bias_L10H2,0.8188072253141586,first_token_bias_content_focus_punctuation_stochastic_L7H6,
7,7,88,first_token_bias_content_focus_L8H3,0.7997538300672994,decaying_first_token_bias_punctuation_L7H7,
7,8,39,decaying_first_token_bias_content_focus_punctuation_stochastic_L11H7,0.55943850791213,decaying_first_token_bias_punctuation_L7H8,
7,9,19,decaying_first_token_bias_content_focus_L4H8,0.6257898555911736,first_token_bias_content_focus_punctuation_L7H9,
7,10,59,first_token_bias_L7H2,0.9468048791314028,first_token_bias_L7H10,
7,11,65,first_token_bias_L9H6,0.8738554397630794,first_token_bias_stochastic_L7H11,
8,0,47,first_token_bias_L10H2,0.7942805146603585,first_token_bias_content_focus_L8H0,
8,1,57,first_token_bias_L6H9,0.8686930716029984,first_token_bias_L8H1,
8,2,75,first_token_bias_content_focus_L3H5,0.6685838482634625,first_token_bias_content_focus_punctuation_stochastic_L8H2,
8,3,47,first_token_bias_L10H2,0.7989619436627317,first_token_bias_content_focus_L8H3,
8,4,19,decaying_first_token_bias_content_focus_L4H8,0.5731554502831457,first_token_bias_content_focus_L8H4,
8,5,75,first_token_bias_content_focus_L3H5,0.5655377785073313,first_token_bias_content_focus_punctuation_L8H5,
8,6,131,first_token_bias_punctuation_L10H8,0.6988090978360628,first_token_bias_content_focus_punctuation_L8H6,
8,7,129,first_token_bias_content_focus_stochastic_L5H2,0.5340215371649979,first_token_bias_content_focus_L8H7,
8,8,75,first_token_bias_content_focus_L3H5,0.5718434178979822,first_token_bias_content_focus_L8H8,
8,9,23,decaying_first_token_bias_content_focus_L7H1,0.7398714126929413,decaying_first_token_bias_content_focus_L8H9,
8,10,98,first_token_bias_content_focus_punctuation_L11H2,0.702198048564171,decaying_first_token_bias_content_focus_punctuation_L8H10,
8,11,47,first_token_bias_L10H2,0.8333206766383237,first_token_bias_punctuation_L8H11,
9,0,81,first_token_bias_content_focus_L5H9,0.7050769381146214,first_token_bias_content_focus_punctuation_L9H0,
9,1,88,first_token_bias_content_focus_L8H3,0.8917378457424852,first_token_bias_L9H1,
9,2,47,first_token_bias_L10H2,0.7105595051446475,decaying_first_token_bias_content_focus_punctuation_L9H2,
9,3,39,decaying_first_token_bias_content_focus_punctuation_stochastic_L11H7,0.5684954396725324,first_token_bias_L9H3,
9,4,65,first_token_bias_L9H6,0.8878586662217869,first_token_bias_punctuation_L9H4,
9,5,47,first_token_bias_L10H2,0.831951760724529,first_token_bias_L9H5,
9,6,65,first_token_bias_L9H6,0.9334808583595732,first_token_bias_L9H6,
9,7,47,first_token_bias_L10H2,0.731677217061269,decaying_first_token_bias_content_focus_L9H7,
9,8,47,first_token_bias_L10H2,0.8090287108586413,decaying_first_token_bias_content_focus_punctuation_L9H8,
9,9,57,first_token_bias_L6H9,0.952656455371014,first_token_bias_stochastic_L9H9,
9,10,39,decaying_first_token_bias_content_focus_punctuation_stochastic_L11H7,0.6056417003992104,first_token_bias_L9H10,
9,11,65,first_token_bias_L9H6,0.9145731335675428,first_token_bias_punctuation_L9H11,
10,0,88,first_token_bias_content_focus_L8H3,0.8304526563364659,first_token_bias_content_focus_punctuation_L10H0,
10,1,65,first_token_bias_L9H6,0.9291075028179346,first_token_bias_content_focus_punctuation_L10H1,
10,2,88,first_token_bias_content_focus_L8H3,0.8855155917314098,first_token_bias_L10H2,
10,3,131,first_token_bias_punctuation_L10H8,0.8137197278879997,decaying_first_token_bias_content_focus_punctuation_L10H3,
10,4,30,decaying_first_token_bias_content_focus_punctuation_L11H1,0.6180892318322344,first_token_bias_L10H4,
10,5,47,first_token_bias_L10H2,0.6665116607991547,first_token_bias_content_focus_L10H5,
10,6,65,first_token_bias_L9H6,0.8934286269760825,first_token_bias_L10H6,
10,7,47,first_token_bias_L10H2,0.7207352275553307,first_token_bias_punctuation_coreference_L10H7,
10,8,65,first_token_bias_L9H6,0.939998000856032,first_token_bias_punctuation_L10H8,
10,9,19,decaying_first_token_bias_content_focus_L4H8,0.600847135049728,first_token_bias_content_focus_punctuation_stochastic_L10H9,
10,10,65,first_token_bias_L9H6,0.9291878004019304,first_token_bias_content_focus_L10H10,
10,11,137,first_token_bias_punctuation_L6H10,0.6749338077879509,decaying_first_token_bias_L10H11,
11,0,112,first_token_bias_content_focus_punctuation_L6H2,0.505543665823525,first_token_bias_content_focus_L11H0,
11,1,47,first_token_bias_L10H2,0.8268033978952488,decaying_first_token_bias_content_focus_punctuation_L11H1,
11,2,88,first_token_bias_content_focus_L8H3,0.9037794848508056,first_token_bias_content_focus_punctuation_L11H2,
11,3,98,first_token_bias_content_focus_punctuation_L11H2,0.6025155647827993,decaying_first_token_bias_content_focus_L11H3,
11,4,30,decaying_first_token_bias_content_focus_punctuation_L11H1,0.7770802670626014,first_token_bias_punctuation_L11H4,
11,5,88,first_token_bias_content_focus_L8H3,0.8684914860349837,first_token_bias_content_focus_punctuation_L11H5,
11,6,65,first_token_bias_L9H6,0.9356501520755928,first_token_bias_L11H6,
11,7,47,first_token_bias_L10H2,0.7925667363477201,decaying_first_token_bias_content_focus_punctuation_stochastic_L11H7,
11,8,45,decaying_stochastic_L1H10,0.4521920393506183,first_token_bias_content_focus_punctuation_L11H8,
11,9,65,first_token_bias_L9H6,0.8909867600784741,decaying_first_token_bias_L11H9,
11,10,98,first_token_bias_content_focus_punctuation_L11H2,0.6386522942335187,decaying_first_token_bias_content_focus_punctuation_L11H10,
11,11,30,decaying_first_token_bias_content_focus_punctuation_L11H1,0.600833003075969,decaying_first_token_bias_L11H11,
