k,head,program,strategy,increase,spike
42,"(4, 2)",emphasize_verbs_and_objects,smart,88.59051832830147,False
43,"(2, 5)",relative_position_attention,smart,88.42912569423669,False
44,"(5, 7)",emphasize_verbs_and_objects,smart,87.44107777930303,False
45,"(3, 6)",relative_position_attention,smart,87.8927013942598,False
46,"(0, 5)",parenthetical_insertion,smart,88.08952274827551,False
47,"(0, 8)",parenthetical_insertion,smart,88.61687783633553,False
48,"(3, 4)",relative_position_attention,smart,88.50378130775074,False
49,"(4, 1)",parenthetical_insertion,smart,88.43436311046659,False
50,"(1, 0)",relative_position_attention,smart,89.30638767687917,False
51,"(2, 7)",relative_position_attention,smart,90.70053674262718,False
52,"(5, 9)",next_attention,smart,107.74828612651773,False
53,"(6, 10)",emphasize_verbs_and_objects,smart,114.69430776904176,False
54,"(4, 0)",emphasize_verbs_and_objects,smart,117.05755643525895,False
55,"(1, 2)",relative_position_attention,smart,115.92398012311958,False
56,"(3, 8)",relative_position_attention,smart,117.43577727061589,False
57,"(7, 1)",emphasize_verbs_and_objects,smart,115.44711230453854,False
58,"(1, 7)",appositive_phrase_attention,smart,116.10137027708171,False
59,"(4, 11)",coordination_attention,smart,118.36385437755814,False
60,"(5, 8)",sentence_initial_dominance,smart,119.69069300990755,False
61,"(0, 1)",parenthetical_insertion,smart,131.40555241588214,False
62,"(4, 8)",emphasize_verbs_and_objects,smart,135.53371841013487,False
63,"(4, 9)",relative_position_attention,smart,137.41176206796857,False
64,"(6, 6)",emphasize_verbs_and_objects,smart,149.32322238661763,False
65,"(9, 1)",emphasize_verbs_and_objects,smart,158.92449203581532,False
66,"(2, 11)",appositive_phrase_attention,smart,164.14848791041686,False
67,"(1, 5)",relative_position_attention,smart,170.73870051708087,False
68,"(1, 3)",relative_position_attention,smart,170.94669559415615,False
69,"(5, 3)",emphasize_verbs_and_objects,smart,189.2207705430051,False
70,"(4, 4)",emphasize_verbs_and_objects,smart,191.45610199454921,False
71,"(1, 11)",relative_position_attention,smart,185.8046350913607,False
72,"(2, 4)",relative_position_attention,smart,185.19701182495237,False
73,"(2, 6)",lexical_diversity_focus,smart,186.90771766237273,False
74,"(8, 3)",emphasize_verbs_and_objects,smart,201.02124223712434,False
75,"(7, 2)",emphasize_verbs_and_objects,smart,214.12360112083198,False
76,"(6, 8)",emphasize_verbs_and_objects,smart,214.5566108195625,False
77,"(5, 0)",emphasize_verbs_and_objects,smart,245.16347075622767,False
78,"(8, 8)",relative_position_attention,smart,251.09078585569227,False
79,"(2, 10)",relative_position_attention,smart,264.49919529693966,False
80,"(9, 0)",emphasize_verbs_and_objects,smart,268.6247208163219,False
81,"(2, 8)",relative_position_attention,smart,274.91487844201737,False
82,"(6, 2)",emphasize_verbs_and_objects,smart,297.8907488939709,False
83,"(5, 4)",relative_position_attention,smart,296.8392213300851,False
84,"(7, 9)",emphasize_verbs_and_objects,smart,319.0454999873605,False
85,"(11, 9)",parenthetical_insertion,smart,329.7927261778344,False
86,"(6, 7)",relative_position_attention,smart,321.94376550744033,False
87,"(0, 11)",relative_position_attention,smart,327.23743542850525,False
88,"(11, 2)",parenthetical_insertion,smart,329.50659362955474,False
89,"(8, 1)",emphasize_verbs_and_objects,smart,336.39645868997604,False
90,"(7, 5)",emphasize_verbs_and_objects,smart,365.92443207186733,False
91,"(3, 2)",relative_position_attention,smart,365.8750508411332,False
92,"(9, 11)",relative_position_attention,smart,368.89687029317355,False
93,"(7, 10)",emphasize_verbs_and_objects,smart,417.28370832390874,False
94,"(3, 10)",relative_position_attention,smart,424.1528735226781,False
95,"(9, 10)",relative_position_attention,smart,451.2821259985708,False
96,"(9, 8)",relative_position_attention,smart,467.54221840787716,False
97,"(7, 8)",punctuation_attention,smart,491.2718756377052,False
98,"(8, 7)",relative_position_attention,smart,505.7290405518118,False
99,"(2, 1)",sentence_level_attention,smart,551.820208665016,False
100,"(10, 0)",relative_position_attention,smart,569.2103533758021,False
101,"(10, 3)",last_token_attention,smart,567.2803186111978,False
102,"(1, 10)",sentence_position_preference,smart,573.9340726382391,False
103,"(10, 5)",last_token_attention,smart,564.0180897522812,False
104,"(9, 5)",relative_position_attention,smart,584.5060343542126,False
105,"(9, 2)",relative_position_attention,smart,600.2189454176385,False
106,"(10, 1)",last_token_attention,smart,596.5006030281796,False
107,"(4, 6)",emphasize_verbs_and_objects,smart,622.3498742057263,False
108,"(3, 0)",relative_position_attention,smart,622.6122670789143,False
109,"(8, 9)",relative_position_attention,smart,662.3220629928755,False
110,"(10, 7)",punctuation_attention,smart,678.0968952415955,False
111,"(10, 9)",last_token_attention,smart,669.1591818844656,False
112,"(11, 8)",parenthetical_insertion,smart,674.5166941482992,False
113,"(10, 10)",relative_position_attention,smart,687.6952931279808,False
114,"(10, 4)",last_token_attention,smart,720.7984440333669,False
115,"(11, 0)",punctuation_attention,smart,734.0711223154474,False
116,"(11, 11)",punctuation_attention,smart,736.1928406697963,False
117,"(11, 7)",punctuation_attention,smart,744.9654835460685,False
118,"(11, 6)",punctuation_attention,smart,741.9096705525701,False
119,"(11, 4)",punctuation_attention,smart,752.0006145372165,False
120,"(11, 3)",punctuation_attention,smart,746.5682269154524,False
121,"(7, 0)",relative_position_attention,smart,786.8595572865426,False
122,"(11, 1)",punctuation_attention,smart,796.992427925381,False
123,"(11, 10)",punctuation_attention,smart,795.7472596813054,False
124,"(10, 2)",punctuation_attention,smart,794.41980124116,False
125,"(10, 11)",punctuation_attention,smart,830.1275222699663,False
126,"(11, 5)",punctuation_attention,smart,869.9781597461264,False
127,"(10, 8)",punctuation_attention,smart,888.7441871302211,False
